Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS JUNIOR,"São Paulo, SP",A Gente Faz Terceirização,REQUISITOS: EXPERIÊNCIA COM DASHBOARD TRATAMENTO DE INFORMAÇÕES EXCEL E POWER BI AVANÇADO Atividades desenvolvidas: * RELATÓRIOS * ANÁLISE DE DADOS *…EmployerAtiva 14 dias atrás,Sem informacao
ANALISTA DE DADOS,"São José dos Campos, SP",TerraMagna,"
Experiência com ferramentas de visualização de dados;
Experiência em análise de dados e gestão de KPIs;
O time de Produto é a engine de crédito da TerraMagna,…
PostedRecém publicada·",Sem informacao
ANALISTA DE DADOS - PLENO (HÍBRIDO OU REMOTO),"Home office in Blumenau, SC",Recrutamento Externo,"
Tiver conhecimento sobre o contexto logístico.
Traduzir necessidades comerciais em especificações técnicas;
A Lincros é um time de pessoas ímpares.
Postado há 22 dias·",Sem informacao
ANALISTA DE DADOS JR,Home office,Seazone,"
Excel básico, python ou R básico.
Excel Avançado, Python Avançado para Análise de Dados, R Avançado, Power BI ou equivalente.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,Grupo SEB,"Temos uma vaga para você! Estamos contratando Analista de Dados Sênior, com background em digital, tecnologia e inovação para nos ajudar a transformar…PostedHoje·","4,3"
ANALISTA DE DADOS (BI),"Ribeirão Preto, SP",J&T Express,"Somos a J&T Express, empresa multinacional que chegou ao Brasil para revolucionar o mercado de entregas expressas. Nossos números: * Presença em 13 países; …EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS,Home office,Moka Info,"DESCRIÇÃO DA VAGA Especificar consultas para o time de TI, de acordo com padronização Validar consultas, de acordo com tabnet e/ou outras referências…Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Seven Clínica,"Se você tem um perfil dinâmico, aberto a aprendizados e está em busca de uma oportunidade na área de TI, esta vaga é para você! A Clínica Seven, referência…Postado há 7 dias·",Sem informacao
ANALISTA DE DADOS JR,"Goiânia, GO",PPT CONSULTORIA,"*Cargo *Analista de Dados JR\* *Cidade *Goiânia *Atividades *Criação e desenvolvimento de relatórios em Excel, extração de dados por instruções SQL e…EmployerAtiva 29 dias atrás·",Sem informacao
ANALISTA DE DADOS,Home office,Seazone,Como será um dia de trabalho típico na Seazone? Fazer parte dessa equipe significa que você ajudará a compor um time de excelência para trabalhar…Postado há 30+ dias·,Sem informacao
ANALISTA DE DADOS,"Belo Horizonte, MG",RHV,"* Interpretar dados, analisar resultados usando técnicas estatísticas e fornecer relatórios de progresso Desenvolver e implementar bancos de dados, sistemas…Postado há 2 dias·",Sem informacao
