Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS JUNIOR - (PROJETOVV),Home office,Mutant,"
Para MLOps, o profissional poderá atuar desde as etapas de preparação dos dados à otimização dos códigos desenvolvidos;
Conhecimentos em SQL e Python;
Postado há 8 dias·","3,6"
CIENTISTA DE DADOS JR,Home office,CASA&VIDEO,"
Existimos para tornar acessíveis os sonhos dos nossos clientes.
Bom conhecimento de conceitos estatísticos;
**Olha, essa vaga também é destinada a PCDs***.
Postado há 13 dias·","3,9"
CIENTISTA DE DADOS,Home office,A3Data,"
Realizar análise exploratória dos dados;
Possuímos conhecimento nas mais variadas tecnologias, o que nos permite moldar soluções abrangentes e flexíveis.
Postado há 13 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Track,"
Resolver problemas relacionados aos negócios usando técnicas baseadas em dados.
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,Fretebras,"
Programação em Python ou R;
Análises de métodos estatísticos e bibliotecas para construção de modelos de Machine Learning (como scikit-learn, statsmodels, keras…
Postado há 7 dias·",Sem informacao
CIENTISTA DE DADOS JR - POLÍTICAS DE CRÉDITO,Home office,Open Co,"
Tem uma visão de mundo em que a tecnologia é integrada ao negócio;
Conhecimento em alguma linguagem de programação (Ex: Python, SQL, etc.);
Postado há 28 dias·",Sem informacao
CIENTISTA DE DADOS JÚNIOR 1,"Curitiba, PR+1 local",EY,"
Conhecimento em análise exploratória e mineração de dados;
Experiência no uso de banco de dados (ex.: Oracle, SQL Server, MySQL, PostgreSQL, Azure SQL, MariaDB…
Postado há 8 dias·","4,0"
CIENTISTA DE DADOS SENIOR,Home office,Petlove&Co,"
Experiência no tratamento de dados usando SQL, BigQuery, Excel ou Google Sheets;
Essa é uma vaga de cientista no nosso time de Inteligência de Dados.
Postado há 1 dia·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Liv Up,"
Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…
Postado há 30+ dias·","4,3"
CIENTISTA DE DADOS PLENO,"Home office in São Paulo, SP",Clearsale,"
Trabalho com grandes volumes de dados com extração e manipulação de grandes conjuntos de dados, usando ferramentas como SQL e/ou R/ Python;
Postado há 29 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Uberlândia, MG",Obuc Gestão de Dados,"
Responsável pelo desenvolvimento de Reports, Dashboards e Smart Centers para os clientes.
UX, design de telas com foco em user centricity.
EmployerAtiva 7 dias atrás·",Sem informacao
CIENTISTA DE DADOS,Home office,Carguero,"
Proficiência na extração de dados utilizando SQL;
Conduzir projetos de Ciência de Dados voltados para diversas áreas;
Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Flix,"
Conhecimento em linguagens de programação de análise de dados (R, Python, Hadoop e SQL);
Visualização de Dados; Data Mining, Machine Learning;
Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS,"Belo Horizonte, MG",Holdde Recrutamento Estratégico,"
Requisitos: * Conhecimento em linguagens de programação de análise de dados (R, Python, Java), Banco de Dados (MySQL, SQL e outros); Conhecimento de técnicas de…
PostedHoje·",Sem informacao
