Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS,"São José dos Campos, SP",Jobbol,"
Trabalhar com maneiras de manipular dados em grande quantidade (Big Data).
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS JUNIOR,"Home office in São Paulo, SP",infracommerce,"
Análise de dados da cliente para modelagem de forecast;
A Infracommerce é um ecossistema digital white label para marcas e indústrias globais, que atua no…
Postado há 12 dias·","3,6"
CIENTISTA DE DADOS (REMOTO),Home office,First Decision Tecnologias Inovadoras,"
Resolver problemas de negócios usando técnicas orientadas por dados;
Conhecimento avançado em análises de dados desenvolvimento de relatório analíticos …
Postado há 2 dias·","3,3"
CIENTISTA DE DADOS,"São Paulo, SP",Innolevels,"
Frameworks de deep learning e machine learning, como TensorFlow e scikit-learn.
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa…
EmployerAtiva 6 dias atrás·",Sem informacao
CIENTISTA DE DADOS JR,Home office,Maxxidata,"
Experiência com pipeline de dados no AWS ou GCP & Programação SQL.
Graduação em Estatística, Matemática, Engenharia, Física, Economia ou cursos correlatos.
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS JÚNIOR 1,"Porto Alegre, RS+1 local",EY,"
Vivência em tratamento de dados, ETL, consolidação, cruzamentos.
Oportunidade de trabalhar no segmento de tecnologia de uma empresa de grande porte; Diversos…
Postado há 1 dia·","4,0"
CIENTISTA DE DADOS,Home office,Track,"
Resolver problemas relacionados aos negócios usando técnicas baseadas em dados.
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,"Barueri, SP",Divulga Vagas,":: Desenvolver soluções de Data Science (DS) para construção de ferramentas de tomadas de decisão para áreas de negócio (compras, pricing, produção, marketing…EmployerAtiva 2 dias atrás·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Hypera Pharma,"
Você ainda pode fazer parte do nosso time!
Superior Completo em Estatística, Matemática, Computação ou áreas afins;
Postado há 30+ dias·","4,2"
CIENTISTA DE DADOS,"Curitiba, PR",MJV,"
; - Frameworks e bibliotecas : TensorFlow, Theano, CNTK, scikit-learn, Caffe, SparkMlib; - Linguagens Programação: Python, R; - Processos Big Data; - Hadoop; -…
Postado há 30+ dias·","3,6"
CIENTISTA DE DADOS,Remoto híbrido,KMM Engenharia de Sistemas,"
Extrair, agrupar e classificar informações de grandes volumes de dados;
Aqui na KMM nós criamos soluções.
Postado há 20 dias·","4,6"
CIENTISTA DE DADOS PLENO,"São Paulo, SP",Porto Seguro,"
O que você precisa para fazer parte deste time:
Conhecimento de pelo menos uma linguagem de programação (SAS, Python ou R);
Postado há 7 dias·","4,5"
CIENTISTA DE DADOS PLENO,Home office,Fretebras,"
Compartilhar com o time e com a empresa os resultados encontrados nas análises, tenham eles provado ou não a hipótese inicial;
Programação em Python ou R;
Postado há 2 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Curriculum.com.br,Cientista de Dados. Sólidos conhecimentos em conceitos Geoespaciais e técnicas de processamento espacial (Esri | Não Esri); Experiência com ETL; Conhecimento…Postado há 9 dias·,"4,1"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",GrupoSC Distribuidora de Medicamentos,"
Ajudar a definir ferramentas adequadas para o ambiente;
Apresentar e defender os modelos para diversos públicos;
Postado há 30+ dias·","2,0"
CIENTISTA DE DADOS JR,"Rio de Janeiro, RJ",Vibra Energia,"
Experiência em linguagem de programação como R, Python, ferramentas de Data Science;
Habilidade com números (Matemática, Estatística e Machine Learning);
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",PeoplePro Informatica Ltda,"
Experiência com criação de modelos de aprendizagem de máquina utilizando sas, python, scala ou r; Experiência com notebook (jupyter ou zepellin); Sas guide,…
Postado há 1 dia·","4,6"
"CIENTISTA DE DADOS (PYTHON, R, SAS E MATLAB)",Home office,Turing.com,"
Ao menos 3 anos de experiência relevante como cientista de dados.
Ajudar em tarefas como limpeza de dados, data wrangling, análise quantitativa e mineração de…
EmployerAtiva 3 dias atrás·",Sem informacao
CIENTISTA DE DADOS,Home office,tembici.,"
Experiência anterior como cientista de dados;
Conhecimento avançado em manipulação de bancos de dados e SQL, programação Python (ou R);
Postado há 28 dias·",Sem informacao
CIENTISTA DE DADOS - PLENO,"São Paulo, SP",BP,"
Reunir informações relevantes (dados dos clientes dentre diversos sistemas CRM, Google Analytics, etc.);
Conhecimentos em R, Python ou SAAS;
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS SÊNIOR,Home office,Martins,"
Produzir análises detalhadas sobre comportamento de usuários, modelos estatísticos, fontes de dados, etc.;
Essa vaga é para você que quer fazer parte de um time…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS IV,Home office,Fretebras,"
Somos um time que trabalha para transformar o nosso transporte e construir processos mais eficientes entre tecnologia, inteligência artificial e pessoas.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Keyrus Brazil,"
Desempenhar papel de liderança no time.
Conhecimento em Python e Azure.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",EY,"
Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data.
Conhecimento em tecnologias para IA;
Postado há 9 dias·","4,0"
CIENTISTA DE DADOS PLENO,"Home office in São Paulo, SP",Neogrid,"
Criar modelos utilizando estatística, machine learning, otimização e/ou teoria financeira.
Conhecimento em computação em nuvem (Azure).
Postado há 9 dias·","3,6"
