Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados Pl.,"São Paulo, SP",PagSeguro PagBank,Avaliar e mentorear tecnicamente os engenheiros de dados.Conhecimento em arquitetura de dados.Conhecimento em modelagem de dados.,https://www.indeed.com/rc/clk?jk=1ebfa5c7558fa7c8&fccid=44e1ff5923cfbeec&vjs=3
Engenheiro(a) de Dados Hadoop Júnior (remoto),"São Paulo, SP",GeekHunter,"Atuação com Big Data, programação, banco de dados, fluxo, processos de transformação.Convênio com desconto em instituições de ensino e cursos de Idiomas;",https://www.indeed.com/rc/clk?jk=bd0a7f1674ecba55&fccid=9ba8dec3013c0c90&vjs=3
Engenheiro De Dados SR (Remoto) - Porto Alegre - RS,"Porto Alegre, RS",Líder e Gestão,Framework de processamento distribuído Scala;Premiação por tempo de empresa;Domínio pe Processo de ETL / ELT;Conhecimento de consultas SQL (preferencial).,https://www.indeed.com/rc/clk?jk=c80a10e024320dee&fccid=cd7916227c73e90a&vjs=3
Engenheiro de Dados (Talend),"São Paulo, SP",HAYS,"Busco um engenheiro de dados para atuar em uma Consultoria de soluções de negócios, estratégia, transformação digital, aplicações tecnológicas e outsoucing.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AoTxFJcHFnRJPy6xCSltLIFs0Zl2YQArntwLUrrwmx0VeGPwQOv2A2AoEg-fO0f6xaxh5e9q2lhJvxPDC6NcMq0503GHEZ25n2yR9RMGYUlGGdYwxA7vuNSep-r8xM49STYWK1T06Dar5McqKjYhCLln22InvCpSYl0ges2y9AaOk6hUC1eez4ZbYHuerHb4TJQagSmJJ7u7fuMbrdiTX_L6knscwmwsHxTvqbMrt3g2I-bNb2U8lsfwJfUZZLM8GFenGQgWv5kVIr7wHbhyW8n6frC_8YiZbl83LW91aVNhBk39TYcGXy37c8JjyVUztf-6TD40rcQKa2CSuNjTTZd1S8560QoMtYuN3awbJ4QCeixWpcdCll1yq8WG7wDC5u6SFqB_oRdKfaI-YSlrbH0NN-sSgTvIf5dabgy_dk-qXZI5j__sspz2zQYH4EQs4jmb8jOinBYs8B5Sp-RoYGinp1i_pRtQ9i_ETt4xv6kft1O2IZeNjPm_IJ3zAECljLoAGfIMGY4NWLIzEbGp897nx2TKnSJIoDhKVRuz9Ol8iL5mAKXF9ocZMChBp9wX7uSRpb56Kj-nfzompnvlHokbUAXi9c3hmfz2SOdkeGjMwJkgx6vjwTduGyWBSa3NLQLTT1U067bvSf336yGpUxHh2gSzjLySazioRC4s3qX36lLdl0R40UGBDG6Qx3fEQ=&p=6&fvj=0&vjs=3
Engenheiro de Dados (PySpark),"São Paulo, SP",HAYS,"Busco um engenheiro de dados para atuar em uma consultoria de soluções de negócios, estratégia, transformação digital, aplicações tecnológicas e outsoucing.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AoTxFJcHFnRJPy6xCSltLIFs0Zl2YQArntwLUrrwmx0VeGPwQOv2A2AoEg-fO0f6xaxh5e9q2lhN4-58yGJy7msogV5c_FGmM6rWvdePKMP9bcWLzB8Bfo_fZn2CbsA76srBn8OfBdUBqjMWqf-caw4iICOgOmcWyi_7lWNKy0CQwHih95zg-h77zCe7oY2770zg0ZiTRxSn7_UYnkimD_1JyIkuOUXrL5DIR_j7KQ33uqrpHGcUOe-jLDCOiTSdeWzJnvoMrZ2275gKDvYoZ0B9ULa7GLRIBAGMrpCpsRtF-sMM0CVmInfIqJvVtZqnjMImY8p4W9HDFHt4H_wIUTGC1zLQ8IspiqYJf0VvdEEzJZ_BBUK1FXvyWprxI4VxaBU4QH4m197sFAyCHqWJUWkLK5ITjwU2_IaGPHv7DaQapOHnqRVPJAOBzcQ6t4WghtcY3o6L4z8tUqrrQEHsyaYKpqaExkj1u3KwJwRZieTHK7Oz33liAeZYT9QzVVBtooxIcEtnwKQ8ZdhAzRx46po-xFU_WwMDZXGk2O1wX1aC82YJKf3PzP3GnFs0x7Lr2a2INgkARKgJKIJ2jhQFog55PVvU9SOJ07r1cGUQjG1TPOpVRjQzTb6lkNAyQ0r_srjfubyeDuryQa_lqzVIoaX2IRWyV4sMEiPJvC4GPoD2Wo9TcoI9smN-B4H2HSoqw=&p=7&fvj=0&vjs=3
Engenheiro de Dados Sênior,"São Paulo, SP",HAYS,"Pacote de benefícios atrativo de mercado!Como Engenheiro de Dados, você vai utilizar seus sólidos conhecimentos em Azure Dataflow - PowerBI Conhecimento em…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AoTxFJcHFnRJPy6xCSltLIFs0Zl2YQArntwLUrrwmx0VeGPwQOv2A2AoEg-fO0f6xaxh5e9q2lhHmENLU5zAj8SAWUQrT9kk9ZJuXdb99HAlEit6_mjBH47Ad6yGeMPvePYla0gO5u3FpR8GAdacIFkYt65NvbdSfFlyX850O_15XMmDQ32N4IBGgrj_0xu8qwAVzhhTa4sOSE9isD7IK5bJLLdAjM_AOrJJFWrGYMWUgNOmfrJZaOwrTE_EVKXu2ygTLmVvx3bhEO99z0kaJPFrRle6DG_kP3-1U0GxIIhG9dNIMSEz3nuiHgpyILTtamxvL8JplxxQMwK4K2YXD44-WYkjh7xRTnrvV9lAszU6uHok9K4HwFGkUUpoF_lHRtiH7cmKulGCrRIdnrVtUSaHD1a3MHVhGfw0l3LJgVqFlaQgfiAhX38xtWqKy_OGgSHHTkWTZd-z8uOhWI08YSDLTSa6J-NLt_B1QbW4PdO9i747bnddVwecCLMrNJdFmuGMFelUpSGXwe9zH72yt4dOhqdhLr4Goi4clXS3Rrxyw76K1OozjhmhyMSwyMbHsKAiw-4TphBqlsMTG10X-IVWE6vWgZ9d4fAP1Ajf2LxpjDbjAv1VVEW4nd4qP5-ONrHwyCjY7HNYWj5eYRmJCLMxvHiiZ-PBhilkJMWrPKF19sav5b1-_DEm2QWzQmFLs=&p=8&fvj=0&vjs=3
Analista de Engenharia de Dados Pl (SP),"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Experiência com técnicas de processos de ETL/Modelagem dimensional;Trabalhe com a sua paixão!,https://www.indeed.com/rc/clk?jk=47d9c7d3e473c369&fccid=5386281035076fdf&vjs=3
Engenheiro(a) de Dados III,"Rio de Janeiro, RJ",PEBMED,"Conhecimentos sólidos de banco de dados, padrões e casos de uso;Construir códigos e scripts de limpeza e tratamento de dados, deduplicação, ajuste de missing…",https://www.indeed.com/rc/clk?jk=03a4f3a42e06e365&fccid=ec6d6e5d0bd8f28f&vjs=3
Engenheiro de Dados Sênior,"Manaus, AM","Liferay, Inc","Construir batchs em larga escala e pipelines de dados em tempo real com frameworks de processamento de dados como o Apache Beam, o Apache Spark e a Plataforma…",https://www.indeed.com/rc/clk?jk=29b96760592ca6f4&fccid=a7413a017265f7bf&vjs=3
Engenheiro de Dados Pleno,"São Paulo, SP",Munhoz Fernandes Consultoria,Acompanhar release de pacotes de aplicações;Contribuir na definição das camadas de dados e seu respectivo uso;Diretrizes de distanciamento social aplicadas.,https://www.indeed.com/company/Munhoz-Fernandes-Consultoria-em-RH/jobs/Engenheiro-Dados-Pleno-ca37b0c20015f2be?fccid=9276697079d91f66&vjs=3
