Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE DADOS AWS,Home office,Leega Consultoria,"
Conhecimento com banco de dados Oracle, PL/SQL.
Construir soluções escalonáveis e resilientes de análises de dados no ambiente AWS.
Postado há 4 dias·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Carguero,"
Desenvolver, construir, testar e manter arquiteturas de trabalho, tais como bases de dados e sistemas de processamento em larga escala;
Postado há 2 dias·",Sem informacao
ENGENHEIRO DE DADOS DATA VIZ JÚNIOR,"São Paulo, SP",Innolevels,"
Domínio de técnicas de apresentação de dados;
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 9 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,"Rio de Janeiro, RJ",DECISION GROUP IT,"
Local: Remoto, período integral, território brasileiro.*.
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Zallpy Digital,"
Valorizamos o trabalho em equipe, as interações humanas e prezamos pela nossa autonomia como time e como produto.
Nossos dias são uma constante evolução.
Postado há 5 dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",Innolevels,"
Construção / operação de sistemas distribuídos para extração, ingestão e processamento de grandes conjuntos de dados com alta disponibilidade.
EmployerAtiva 8 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS BIG DATA JÚNIOR,"São Paulo, SP",Innolevels,"
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 9 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS BI PLENO,"Home office in São Paulo, SP",DECISION GROUP IT,"
Spark, hadoop, hive, python, data visualization (Preferencial).
Prazo para inscrição: 01/04/2022.
EmployerAtiva 14 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Home office in São Paulo, SP",Hoop Global,"
Home Office | SQL Avançado | Python | ETL Avançado | Star Schema | AWS | *.
Skills: SQL avançado / python / ETL avançado/ Star Schema / AWS / inglês técnico.*.
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,Home office,LogComex,"
Você terá o desafio de construir nossa plataforma de streaming de dados e auxiliar na expansão do Data Warehouse.
Postado há 30+ dias·",Sem informacao
