Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS,"Brasília, DF",CAFFETTERIA - GRUPO NBM,"
Experiência profissional comprovada como analista de dados ou analista de dados de negócios no ramo alimentício.
PostedHoje",Sem informacao
ANALISTA DE DADOS,"São José dos Campos, SP",Talento RH,"
Possuir experiência prévia com manipulação de planilhas de excel;
Faixa salarial entre R$3 a R$4 mil + Benefícios (VT ou estacionamento na empresa + seguro de…
Postado há 30+ dias·","3,3"
ANALISTA DE DADOS - FOCO MEIOS DE PAGAMENTO,Home office,Sicredi,"
Realizar análises e visualizações de dados para apoiar diagnósticos e tomadas de decisões;Auxiliar no preparo de bases de dados;
Postado há 5 dias·","4,2"
ANALISTA DE DADOS,"São José dos Campos, SP+3 locais",Jobbol,"Fabricação de máquinas de automação admite Analista de Dados em São José dos Campos para atuar em Tempo integral, Comercial. Será responsável por administrar…Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS - DATABRICKS (VAGA REMOTA),"Home office in São Paulo, SP",Nórdica,"
Conhecimento em engenharia de dados;
Participará de diversos projetos junto a equipe de BI e Analytics, sendo responsável por integração de dados, orquestração,…
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS | REALIZE,Home office,Lojas Renner,"
Habilidades para consultar bases de dados SQL e desenvolvimento de dashboards Power BI.
Proposta e discussão de metodologias de análise e a sua posterior…
Postado há 9 dias·","4,2"
ANALISTA DE DADOS - EXCEL INTERMEDIÁRIO / MACROS / BI,"Home office in Vila Velha, ES",Expertizze Desenvolvimento Empresarial e Coaching,"
O trabalho pode acontecer home-office e estamos selecionando em todo Brasil.
Conhecimento em Excel (Teste Prático na seleção).
EmployerAtiva 7 dias atrás·",Sem informacao
ANALISTA DE DADOS (REMOTO),Home office,First Decision Tecnologias Inovadoras,"
Interpretar dados, analisar resultados e utilizar técnicas estatísticas;
Ou outra área com forte ênfase em análise de dados.
EmployerAtiva 3 dias atrás·","3,3"
ANALISTA DE DADOS,Home office,Intensive Care - Serviços Médicos Hospitalares...,"
02 anos atuando em análise de dados .que envolvam ETL.
Ø Conhecimentos de métricas estatísticas para sintetização de dados (média, desvio padrão, percentis,…
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS,"Home office in São Paulo, SP",DXC Technology,"
Ajudar no gerenciamento de projetos internos;
Vários benefícios, Home Office, salário competitivo e nossos valores fazem da DXC uma das mais importantes e…
Postado há 19 dias·","3,2"
ANALISTA DE DADOS,"Home office in São Paulo, SP",HrSoul - Hunting Relationship Soul,Data Analytics Níveis Pleno e Sênior (2 vagas) – 100% Remoto - Projeto de 6 meses com possibilidade de extensão; - Atuação 100% remota. - Experiência com a…PostedRecém publicada·,Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",G4 Educação,"
Participar da construção das KPIs da empresa;
Conhecimento avançado em Google Sheets ou Microsoft Excel;
Conhecimento de ferramentas de BI como PowerBI, Data…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS - FOCO NEGÓCIOS,Home office,Sicredi,"
Conhecimento e experiência com banco de dados SQL Server;
Conhecimento em linguagem de programação , como Phynton ou R (desejável);
Postado há 7 dias·","4,2"
ANALISTA DE DADOS,"Home office in Rio de Janeiro, RJ+2 locais",DECISION GROUP IT,"
Necessário um profissional proativo e comunicativo, capaz de atuar com tratamento de dados On Primice e em AWS, Treinar modelos, Conhecimento em BigData,…
PostedHoje·",Sem informacao
ANALISTA DE DADOS,"Guarapari, ES",Wakke,"
Analisar a viabilidade para migração de banco de dados de clientes para o sistema Escolaweb;
PostedHoje·",Sem informacao
ANALISTA DE DADOS (BI),"Remoto híbrido in Maringá, PR",Trade Technology,"
Vaga CLT - modelo Híbrido para Maringá-PR ou HO.
Conhecimento avançado em Power BI.
Postado há 15 dias·",Sem informacao
ANALISTA DE DADOS - SAO PAULO,"São Paulo, SP+1 local",OEmprego,"Principais responsabilidades: Construir e gerir dashboards, indicadores e métricas, por meio de estudo das necessidades das áreas, apoiando no desenho e…Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JÚNIOR (CUSTOMER SUCCESS - JAMES DELIVERY),Home office,GPA,"
Será responsável por gerar bases de dados e painéis para tomadas de decisão; trabalhará num ambiente voltado à área de operações do James Delivery, uma área…
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"São Paulo, SP",Grupo Elfa Medicamentos,"
Integração com provedores externos de dados, organização e disponibilização desses dados no datalake para consumo;
Ainda não há informação nesta seção.
Postado há 8 dias·","4,8"
ANALISTA DE DADOS,"São Paulo, SP",Schneider Electric,"
The Data Collection Associate I will work with suppliers and customer contacts to obtain copy invoices, which can come via various mechanisms, setting up on…
Postado há 1 dia·","3,9"
ANALISTA DE DADOS E BUSINESS INTELLIGENCE (BI) PLENO (REMOTO...,"Home office in Vila Mariana, SP",Lean Saúde,"
Automatização da captura e extração de dados obtidos por fontes diversas (API, RPA/web scraping, SFTP, bancos de dados, planilhas, e-mail, etc.).
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS | CRM,Home office,Lojas Renner,"
Habilidades para consultar bases de dados SQL e desenvolvimento de dashboards.
Experiência em análise de dados de clientes, de programas de fidelidade, ou de…
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"São Paulo, SP",Avita,"
Desenhar os processos de integração de dados considerando o uso de SQL.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS GEOIA,Home office,Sicredi,"
Auxiliar no preparo de bases de dados;
Integrar o time de Engenharia de Dados de Crédito significa incorporar a cultura data-driven no dia a dia.
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS SÊNIOR - MOBILE (OLX),Home office,OLX Brasil,"
Experiência em análise de dados e gestão de KPIs no mercado digital;
Só nosso time de tecnologia conta com quase 400 pessoas com grandes desafios.
PostedRecém publicada·","4,0"
ANALISTA DE DADOS,Home office,Embraer,"
Habilidade em projetos de metodologias ágeis (Scrum).
Alguns dos conhecimentos técnicos que são interessantes:
Postado há 20 dias·","4,4"
ANALISTA DE DADOS,"Home office in Contagem, MG",PATRUS TRANSPORTES,"
Compartilhe seu currículo conosco e venha compor o nosso time.
Somos a Patrus Transportes, uma empresa que tem as pessoas como o seu maior ativo e que coloca…
Postado há 12 dias·","4,2"
ANALISTA DE DADOS _ INSIGHTS & ANALYSIS,"Remoto híbrido in São Paulo, SP",JeffreyGroup Brasil,"
Buscamos Analista de Dados para o nosso time de Insights & Analysis.
Experiência com pacote MS Office, especialmente Excel e Power Point.
Postado há 12 dias·",Sem informacao
ANALISTA DE DADOS | INSIGHTS DE NEGÓCIOS,Home office,Lojas Renner,"
Domínio em desenvolvimento de dashboards em Power BI e habilidade para consultar bases de dados SQL;
Postado há 9 dias·","4,2"
ANALISTA DE DADOS SR,"Barueri, SP",C&A,"
Criar dashboards para acompanhamento de métricas de performance, analisar o retorno de campanhas nos diversos;
Postado há 7 dias·","4,1"
ANALISTA DE DADOS,"Florianópolis, SC",Exact Sales,"
Excel e/ou Google Sheets avançados.
Postado há 30+ dias·","4,6"
ANALISTA DE DADOS PL (WEB ANALYTICS),Home office,MadeiraMadeira,"
Fazer interface com time de implementação traduzindo requisitos de negócio em linguagem técnica.
Conhecimento profundo em ambientes digitais (Web e Apps).
Postado há 30+ dias·","3,3"
ANALISTA DE DADOS PLENO,Home office,Suno Research,"
﻿Modelar dados e construir consultas SQL;
Analisar dados para suporte à tomada de decisão da empresa.
Postado há 29 dias·",Sem informacao
ANALISTA DE DADOS PLENO E SÊNIOR,Home office,First Decision,"
Domínio de modelagem de dados relacional e de dadosmultidimensionais.2.
Domínio da linguagem SQL.3.
Postado há 2 dias·","4,7"
ANALISTA DE DADOS | SÊNIOR,"São José dos Campos, SP",Quero Educação,"
Experiência como desenvolvedor (não necessariamente relacionada à análise de dados);
Experiência com ferramentas de processamento e análises de dados (SQL,…
Postado há 30+ dias·","3,9"
ANALISTA DE DADOS PLENO - (PREVENÇÃO A FRAUDES),Home office in Brasil,Neon Pagamentos,"
A Neon está em busca de Analista de Dados Pleno - (Prevenção a Fraudes) para fazer um time incrível e de alta performance.
Postado há 30+ dias·","4,3"
ANALISTA DE DADOS,"Curitiba, PR",Oportunidades OVD!,"
Contribuir com a maturidade dos dados da empresa.
Graduação completa em áreas correlatas de tecnologia.
Conheça e desenvolva em PL SQL.
Postado há 12 dias·",Sem informacao
ANALISTA DE DADOS PLENO,"Jundiaí, SP",INEX,"
Conhecimento de ferramentas de visualização de dados (Tableau, Power BI, Qlik View ou afins);
Conhecimento em bancos de dados (Oracle, PostgreSQL, SQL Server,…
Postado há 30+ dias·","3,2"
ANALISTA DE DADOS,"Belo Horizonte, MG",RHV,"
Experiência no uso e coleta de dados em sistemas ERP.
Desenvolver e manter relatórios no Power BI, definição e acompanhamento de indicadores, extração e trativa…
EmployerAtiva 6 dias atrás·",Sem informacao
ANALISTA DE DADOS PL.(REMOTO),"Home office in São Paulo, SP",Ituran,"
Experiência de 3 anos com análise de dados;
Dar suporte à administração de acesso aos dados de BI;
Desenvolver projetos de mediana complexidade usando…
Postado há 27 dias·","4,0"
ANALISTA DE DADOS,"Recife, PE+1 local",A3Data,"A A3Data é uma consultoria de dados, referência em #Dados! Somos, em nossa essência, aceleradores da cultura Data Driven nas organizações. Nosso foco é…Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in Maceió, AL",MESHA TECNOLOGIA,"
Gerenciar volume, variedade, velocidade e veracidade dos dados;
Experiência em pipelines de fluxo de dados utilizando ferramentas de ETL como Pentaho, SSIS, etc…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,"São Paulo, SP",Via,"
Experiência com ferramentas de visualização de dados;
Vivência em manipulação de banco de dados (SQL);
Analises e confecção de melhores leads para o time…
Postado há 30+ dias·","3,6"
ANALISTA DE DADOS - (CLT- HÍBRIDO),"Campinas, SP",Facti,"
Experiência com modelagem de dados em MongoDB.
Experiência em tratamento de dados estruturados e não estruturados mediante o uso de ferramentas ETL.
Postado há 30+ dias·","3,1"
ANALISTA DE DADOS,Home office,Tech Sicredi,"
Auxílio Homeoffice (para atuação híbrida ou remota).
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Fortaleza, CE",Grupo Accord,"
Benefícios: *Alimentação; Vale transporte; Plano de saúde e odontológico.
Ter conhecimento em CONSULTAS SQL e POWER BI.
EmployerAtiva 2 dias atrás·","4,5"
ANALISTA DE DADOS,Home office,Brivia,"
Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.
No dress code, seja 100% você;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,"Home office in São Paulo, SP",CARPEDIEM CONSULTORIA,"
Desenvolvimento (programação) de macros (Access e Excel VBA) para controles e/ou processos internos;
Proficiência em ferramenta e linguagem SAS Guide;
Postado há 30+ dias·","4,5"
ANALISTA DE DADOS PLENO,Home office,Skeelo,"
Visualização de dados com MS Power BI;
Visão crítica sobre dados (cultura data driven);
Responsável pela ferramenta de visualização de dados da empresa;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS - E-COMMERCE (SÃO PAULO-SP),Home office,Dux Nutrition Lab,"
Ser referência para o time de influência nas informações e dados relevantes;
Com base em dados, definir novos perfis de influenciadores a serem incluídos na…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"São Carlos, SP",Lab Vagas.,"
Criar as ferramentas e dashboards (em Microsoft Power BI) com dados advindos de diferentes fontes (incluindo Totvs);
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,JustForYou,"
Nível mais próximo ao negócio;
Boa base matemática, estatística e conceitos gerais de algoritmos;
Cursos específicos da área de Data Science;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO,Home office,+A Educação Tech,"
Conhecimento intermediário de banco de dados SQL;
Vivência prática em área de Dados;
Nosso time de Talent Acquisition receberá sua inscrição na vaga e analisará…
Postado há 22 dias·",Sem informacao
ANALISTA DE DADOS,"Araras, SP",BRNPAR,"
A BRNPar atua fortemente no interior de São Paulo, com empreendimentos espalhados por mais de 14 cidades.
Power BI ou Tableau Intermediário;
Postado há 13 dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,"São Paulo, SP",AEGEA,"
Conhecimento em Programação SQL – nível Intermediário.
Certificado de Power BI | Certificado de Python.
Postado há 16 dias·",Sem informacao
ANALISTA DE DADOS ESCOLARES SÃO JOSÉ DOS CAMPOS / SP,"São José dos Campos, SP",Sistema Poliedro,"
O seu conhecimento pode nos ajudar muito.
Conversar com os solicitantes sobre a demanda;
Acompanhar a participação, compartilhando com os solicitantes a…
Postado há 30+ dias·","2,7"
ANALISTA DE DADOS PLENO - TI,"Jaú, SP",Marka Veículos VW,"Responsável pelo atendimento aos usuários, solucionando dúvidas referentes ao sistema de gestão, além de auxiliar na extração de informações do Banco de dados…Postado há 21 dias·",Sem informacao
ANALISTA DE DADOS JR,"Rio de Janeiro, RJ",Sol Vinil,"
Atuar e garantir a evolução de planos de negócios, de correção de problemas e ser agente facilitador na transformação digital e guardião da Governança de dados.
Postado há 7 dias·",Sem informacao
ANALISTA DE DADOS,"Guarapuava, PR",LINK CAPITAL HUMANO CONSULTORIA E TREINAMENTO LTDA,"
Experiência prévia no trabalho de extração de dados utilizando SQL;
Experiência no uso de ferramentas de visualização de dados (Ex: PowerBI, Tableau, Qlikview,…
Postado há 23 dias·",Sem informacao
ANALISTA DE DADOS,"Fortaleza, CE",Hapvida Saúde,"
Conhecimentos em Dashboard / Visualizadores de dados (Power BI / Data Studio).
Ensino Superior Completo ou Em Andamento;
Postado há 21 dias·","4,0"
ANALISTA DE DADOS ESCOLARES,"São José dos Campos, SP",Poliedro Educação,"
O seu conhecimento pode nos ajudar muito.
Conversar com os solicitantes sobre a demanda;
Acompanhar a participação, compartilhando com os solicitantes a…
Postado há 30+ dias·","4,4"
ANALISTA DE DADOS,"Aparecida de Goiânia, GO",Globaltec S/A,"
. Conhecimento em SQL Server e SSIS, modelagem de dados e processos de ETL, Power BI e Excel.
. Desenvolver e enviar relatórios em Excel, SQL e POWER BI;
Postado há 30+ dias·","4,0"
ANALISTA DE DADOS SÊNIOR,"São Paulo, SP",Experian,"
Navegará por todas as bases de dados de escopo da área, contribuindo em todo o ciclo.
Portanto, acreditamos que trabalhar conectados como um time único e em um…
Postado há 15 dias·","3,6"
ANALISTA DE DADOS,Home office,Cortex,"
(Must have) Facilidade em trabalhar e manipular dados (criação de cubos/matrizes).
Atuação na manutenção e/ou melhorias nas consultas SQL que já existem com o…
Postado há 30+ dias·","4,0"
ANALISTA DE DADOS - SÊNIOR - REMOTO,"Home office in São Paulo, SP",The Bridge Vagas,"
Experiência em modelagem de dados para diversos sistemas (Data Warehouse, Data Mart e Datalake);
Conduzir análises ad-hoc para diagnóstico de problemas ou…
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS SR,"São Paulo, SP",Trane Technologies,"
The successful Senior Data Analyst candidate should have experience in turning data into information, information into insight and insight into business…
Postado há 30+ dias·","3,1"
ANALISTA DE DADOS SR,"São Paulo, SP",Trane Technologies,"
Na Trane Technologies® , desafiamos o possível.
Nossas marcas, incluindo Trane® e Thermo King® - criam acesso à refrigeração e conforto em edifícios e…
Postado há 30+ dias·","3,1"
ANALISTA DE DADOS PLENO,"São Paulo, SP",Klabin,"
Conhecimento em Governança de dados; processos e procedimentos; catálogo de dados e regras de segurança a dados.
Modelagem de dados para geração indicadores.
Postado há 30+ dias·","4,4"
ANALISTA DE DADOS PLENO,"Home office in São Paulo, SP",Curriculum.com.br,"
Apoiar e executar parametrizações das soluções; Conhecimento de Excel; Conhecimentos em SQL, Query, Procedure, Functions e Views; Criação de usuários e grupos…
Postado há 2 dias·","4,1"
ANALISTA DE DADOS,"Home office in São Paulo, SP",Empowermind,"
Mínimo de 3 anos de experiência como analista de marketing digital ou analista / cientista de dados.
Coparticipação no pagamento de cursos de interesse da…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JR - CALL CENTER,"Curitiba, PR",Michelin,"
Analista de dados JR - Call Center.
A Sascar é uma empresa do Grupo Michelin e para nós, a mobilidade é essencial para o desenvolvimento humano.
PostedHoje·","4,0"
ANALISTA DE DADOS,"Aparecida de Goiânia, GO",Globaltec S/A,"
. Conhecimento de infra em banco de dados (Desejável).
. Realizar integração e pesquisa de informações em banco de dados;
Como será o seu dia a dia:
Postado há 30+ dias·","4,0"
ANALISTA DE DADOS,"São Paulo, SP+1 local",Curriculum.com.br,"
Análise de Dados, desenvolvimento de estudos ad-hoc, estrutura de bases de dados e automações em SAS; Análise de oportunidades, relatórios/tabulação das…
Postado há 5 dias·","4,1"
ANALISTA DE DADOS - BI - SÃO PAULO,"Home office in São Paulo, SP",COPASTUR VIAGENS E TURISMO,"
Conhecimento de modelagem de dados estruturados (modelos relacionais, normalização etc);
Atuar na criação, automação e otimização de fluxos e processos de dados…
Postado há 8 dias·","3,8"
ANALISTA DE DADOS - FOCO GESTÃO DE NUMERÁRIO,"Remoto híbrido in Porto Alegre, RS",Sicredi,"
É importante que você esteja disponível para atuar no formato de trabalho híbrido.
Postado há 8 dias·","4,2"
ANALISTA DE DADOS (BI) - CORPORATIVO,"Cascavel, PR",M.A. Máquinas Agrícolas LTDA,"
Atuar na segurança dos bancos de dados dos projetos.
Prover soluções adequadas no processo interno para melhoria da empresa;
Postado há 30+ dias·","4,7"
ANALISTA DE DADOS,"Rio de Janeiro, RJ",Unic rh,"
Experiência com softwares de pesquisas (KoBo Collect, Microsoft Forms, Typeform, Google Forms, outros);
Será um diferencial conhecimento teórico e experiência…
EmployerAtiva 8 dias atrás·",Sem informacao
ANALISTA DE DADOS JR,"Vila da Penha, RJ",Ultra+ RH Consultoria,"
Realizar a apuração dos números dos relatórios da empresa;
Realizar reportes dos números de vendas para gestão;
Criar de dashboards entre outras atividades.
Postado há 8 dias·",Sem informacao
ANALISTA DE DADOS (POWER BI E TABLEAU),Home office,Turing.com,"
Rastrear requisitos de dados, fontes de informação e fluxos de dados para relatórios e processos.
Experiência em trabalhar com operações comuns de gerenciamento…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in Navegantes, SC+1 local",Grupo Luzems,"
Construir data lake com base em dados de diferentes origens (ERP, CRM, Analytics, Planilhas Excel...), analisar os dados destas fontes separadamente criando…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Rio de Janeiro, RJ",Illimitar Serviços de Informática Ltda,"
Criar e manter documentações e metadados para o banco de dados, relatórios gerados e track de métricas nas plataformas.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PL (ÁREA JURÍDICA),"Rio de Janeiro, RJ",Wilson Sons,"
Identificar bases de dados, extrair e padronizar informações, organizando o banco de dados.
É o nosso olhar para o futuro que garante as melhores oportunidades…
Postado há 8 dias·","4,4"
