Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE DADOS,"São José dos Campos, SP",TerraMagna,Quem Somos? Somos uma fintech com o propósito de revolucionar o mercado do agronegócio através de nossa tecnologia e acesso a crédito descomplicado e fácil.…PostedRecém publicada·,Sem informacao
ENGENHEIRO DE DADOS PYSPARK / SÃO PAULO,"São Paulo, SP",Capgemini,"Que tal trabalhar com em uma empresa que está transformando todos os modelos de prestação de serviço? Somos guiados por sete valores principais: honestidade,…PostedRecém publicada·","3,8"
ENGENHEIRO DE DADOS,Home office,V8 Consulting,"O profissional será responsável por criar/manter a arquitetura e desenvolver o processo de engenharia de dados, desde a camada RAW até a camada GOLD,…Postado há 1 dia·","4,0"
ENGENHEIRO DE DADOS DE CRM,Home office,Cielo,"Buscamos pessoas que são conectadas com a transformação digital, que gostam de aprender novas soluções e compartilhá-las. Aqui na Cielo buscamos excelência…Postado há 2 dias·","4,2"
ENGENHEIRO DE DADOS JR,"Joinville, SC",nstech,O que é a nstech? Somos a maior plataforma aberta de tecnologia para logística e mobilidade da América Latina. Apoiamos empresas líderes e ajudamos times…Postado há 7 dias·,Sem informacao
ENGENHEIRO DE DADOS,Home office,Unidas,"Responsável por desenvolver, implementar e manter as soluções de estruturação de informação: DW, ODS e Datalake, soluções tecnológicas de integração e…Postado há 9 dias·","4,1"
"ENGENHEIRO DE DADOS SÊNIOR (PYTHON, SQL E JSON)",Home office,Turing.com,*Candidate-se para esta vaga aqui: *turing.com/s/AQxyvH *Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.* *Somente candidatos com…PostedRecém publicada·,Sem informacao
ENGENHEIRO DE DADOS,Home office,Carguero,"
Desenvolver, construir, testar e manter arquiteturas de trabalho, tais como bases de dados e sistemas de processamento em larga escala;
Postado há 12 dias·",Sem informacao
ENGENHEIRO DE DADOS AWS,Home office,Leega Consultoria,"
Conhecimento com banco de dados Oracle, PL/SQL.
Construir soluções escalonáveis e resilientes de análises de dados no ambiente AWS.
Postado há 14 dias·",Sem informacao
"ENGENHEIRO DE DADOS (PYTHON, DJANGO, ETL, PANDA E POSTGRESQL...",Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de dados.
Simplificar os funis de dados e a infraestrutura.
PostedRecém publicada·",Sem informacao
"ENGENHEIRO DE DADOS (NODE.JS, MONGODB ATLAS, S3 E DYNAMODB)",Home office,Turing.com,"
Criar scripts para lidar com dados estruturados e não estruturados.
Colaborar com stakeholders para identificar os requisitos de estrutura de dados,…
PostedRecém publicada·",Sem informacao
ENGENHEIRO DE DADOS DATA VIZ JÚNIOR,"São Paulo, SP",Innolevels,"
Domínio de técnicas de apresentação de dados;
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 11 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Cielo,"
Experiência como Engenheiro de Dados ou função semelhante envolvendo extração de dados, análise, programação e implantação.
Postado há 26 dias·","4,2"
ENGENHEIRO DE DADOS PYSPARK SENIOR - HIBRIDO - SÃO PAULO,"Home office in São Paulo, SP",Capgemini,"
Realizar ETL; Fazer ingestão de dados; Codificar em Pyspark; Fazer testes unitários; deploy e commit de aplicações nos ambientes do cliente (on premisses /…
Postado há 1 dia·","3,8"
ENGENHEIRO DE DADOS SÊNIOR,Home office,LogComex,"
Você terá o desafio de construir nossa plataforma de streaming de dados e auxiliar na expansão do Data Warehouse.
Postado há 30+ dias·",Sem informacao
