Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE DADOS,"Campina Grande, PB+10 locais",Accenture,"
Solicitamos que seja descrito no currículo o tipo de deficiência, bem como se requer algum recurso especial para desenvolver seu trabalho.
Postado há 30+ dias","4,0"
ENGENHEIRO DE DADOS,"São José dos Campos, SP+1 local",Jobbol,"
Responsável por garantir que os dados (informações) estejam fluindo das origens até os destinos corretos, trabalhando no desenvolvimento de fluxos de dados …
Postado há 2 dias·",Sem informacao
ENGENHEIRO DE DADOS (HÍBRIDO),"São José dos Campos, SP",TerraMagna,"
Experiência em engenharia de dados e/ou desenvolvimento de software;Saber usar SQL e Python (libs pandas, geopandas, Google API) como ferramentas;
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",Innolevels,"
Construção / operação de sistemas distribuídos para extração, ingestão e processamento de grandes conjuntos de dados com alta disponibilidade;
EmployerAtiva 3 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS (DATASTAGE) | REMOTO,"Home office in São Paulo, SP",Capgemini,"
Se você compartilha dos mesmos valores, aqui é o seu lugar.
Postado há 2 dias·","3,8"
ENGENHEIRO DE DADOS,Home office,Clicksign,"
Traduzir especificações técnicas em documentações simples, incluindo fluxos de dados, integrações, transformações, bancos de dados e data warehouses.
Postado há 19 dias·",Sem informacao
ENGENHEIRO DE DADOS DATA VIZ JÚNIOR,"São Paulo, SP",Innolevels,"
Domínio de técnicas de apresentação de dados;
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 7 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS JR,"Home office in Rio de Janeiro, RJ",QC Geofísica,"
Conhecimento intermediário em Javascript, Linux, Shell Script, Python;
Conhecimento de Bancos de Dados Relacionais;
Nuvem (AWS ou Azure) (Obrigatório).
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,"Home office in São José dos Campos, SP+3 locais",Curriculum.com.br,"
Experiência prática em RESTful Web Services, JSON e XML Experiência em PowerBI Reports com Dataverse como backend.
Postado há 8 dias·","4,1"
ENGENHEIRO DE DADOS,"Home office in São Paulo, SP",GrupoSC Distribuidora de Medicamentos,"
Domínio em linguagens que permitam manipulação de dados: SQL, Python, R, Scala, NoSQL etc.;
Postado há 2 dias·","2,0"
ENGENHEIRO DE DADOS,"Home office in Rio de Janeiro, RJ",DECISION GROUP IT,"
Conhecimento das tecnologias de dados AWS;
Conhecimento avançado nas tecnologias: Python, PySpark, GIT e na AWS: Glue, Athena, S3.
EmployerAtiva 10 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS PL.,Home office,Lanlink Informática,"
Fornecer os dados necessários para equipes de negócios;
Postado há 18 dias·","4,3"
ENGENHEIRO DE DADOS BIG DATA JÚNIOR,"São Paulo, SP",Innolevels,"
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 7 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS - RECEBIMENTOS PJ,Home office,Sicredi,"
Permitir o armazenamento das informações com qualidade, disponibilidade, precisão e segurança;
Postado há 30+ dias·","4,2"
ENGENHEIRO DE DADOS/DBA,Home office,Nexti,"
Experiência prévia como DBA MySql (todos níveis de conhecimento);
Performance tunning e soluções para lidar com altos volumes;
Postado há 4 dias·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Myra,"
Conhecimentos de banco de dados relacional e SQL;
É entender que o aprendizado é a melhor parte da jornada.
Queremos ter o melhor time jogando com a gente, por…
Postado há 30+ dias·","3,9"
ENGENHEIRO DE DADOS AWS,Home office,Leega Consultoria,"
Conhecimento com banco de dados Oracle, PL/SQL.
Construir soluções escalonáveis e resilientes de análises de dados no ambiente AWS.
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS BI PLENO,"Home office in São Paulo, SP",DECISION GROUP IT,"
Spark, hadoop, hive, python, data visualization (Preferencial).
Prazo para inscrição: 01/04/2022.
EmployerAtiva 17 dias atrás·",Sem informacao
"ENGENHEIRO DE DADOS (PYTHON, BASH E SQL)",Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de dados.
Sólida compreensão das melhores práticas de engenharia na organização de dados para…
EmployerAtiva 14 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Westwing,"
Ter trabalhado com ambiente AWS (RDS).
Ter trabalhado com ambiente GCP (BigQuery).
Liberdade para escolher trabalhar 100% remoto ou em nosso escritório em São…
Postado há 10 dias·","3,6"
ENGENHEIRO DE DADOS,"Curitiba, PR",Rentcars,"
Garantir a confiabilidade dos dados;
Conhecimento em boas práticas de modelagem de dados;
Criação, melhorias e manutenção do nosso pipeline de dados, incluindo…
EmployerAtiva 6 dias atrás·","4,0"
ENGENHEIRO DE DADOS,"Home office in Brasília, DF",G&P Projetos e Sistemas,"
Construção repositórios para Big Data;
Conhecimentos aprofundados em ferramentas como Hadoop e Spark e linguagens Scala e Python;
Postado há 30+ dias·","3,5"
ENGENHEIRO DE DADOS,Home office,Indra Company,"
C) Engenheiro de Dados Sênior - 05 anos em engenharia de dados.
B) Planejamento, programação e implantação de pipeline dos dados (grande volume de dados) que…
Postado há 10 dias·","5,0"
ENGENHEIRO DE DADOS - PRAIA DE BELAS,"Porto Alegre, RS",Jobbol,"Empresa de software admite Engenheiro de Dados em Porto Alegre (Praia de Belas) para atuar em Tempo integral, Comercial. Auxiliar em desenvolver, construir,…Postado há 2 dias·",Sem informacao
ENGENHEIRO DE DADOS (SALÁRIO EM DÓLAR),Home office,Turing.com,"
Ao menos 5 anos de experiência relevante como engenheiro de dados.
Automatizar os processos comerciais já existentes e os conjuntos de dados.
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Incognia,"
Avaliar resultados de pesquisa do time de cientistas de dados para implementação.
Trabalhamos junto ao time de cientistas de dados para colocar seus estudos em…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS -SÊNIOR,Home office,Grupo SEB,"
Programação SQL e Python tanto para integração quanto para análise de dados;
Experiência preferencialmente na Stack AWS com foco em dados (Kinesis, Athena,…
Postado há 30+ dias·","4,3"
ENGENHEIRO DE DADOS - MODELO REMOTO,"Home office in São Paulo, SP",Vedacit,"
Entregar resultados e gerar impacto positivo é o que nos move!
Coordenar a otimização de rotinas ETL, análise de códigos SQL e procedures.
Postado há 30+ dias·","4,7"
ENGENHEIRO DE DADOS,"São Paulo, SP",BuscarVagas,"
Desejável conhecimento de arquitetura de dados Big Data (Hadoop ou Google Cloud Platform).
Desejável conhecimento de arquitetura de dados Big Data (Hadoop ou…
Postado há 5 dias·",Sem informacao
"ENGENHEIRO DE DADOS (SQL, AZURE, JUPYTER E SPARK)",Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de dados.
Conhecimento de armazenamento e modelagem de dados será desejável.
Postado há 4 dias·",Sem informacao
ENGENHEIRO DE DADOS SR (REMOTO),"Home office in São José dos Pinhais, PR",Rede Lojacorr,"
Criando e definindo modelos de repositórios de dados, tais como (Data Lakes, Data Warehouses, Bases relacionais e não relacionais);
Postado há 26 dias·","3,5"
ENGENHEIRO DE DADOS SENIOR,"João Pessoa, PB",Grupo Elfa,"
Boas práticas em armazenamento de dados, estruturação de Data Lake;
Aptidão para análise estratégica de dados para tomada de decisões;
Postado há 30+ dias·","4,4"
ENGENHEIRO DE DADOS,"Home office in Florianópolis, SC",Fator WoW!,"
Gostar de trabalhar com dados, sendo dashboards, pipeline de dados ou modelos de machine learning;
Experiência em análise de dados com Python e SQL;
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",Iterative,"
Construção de pipelines de dados de ponta-a-ponta, desde o mapeamento das fontes de dados até a devida distribuição para o time de BI;
Postado há 3 dias·","4,2"
ENGENHEIRO DE DADOS,"São Paulo, SP",Telhanorte - Saint Gobain,"
Conhecimento em ferramentas de engenharia de dados (Airflow, Kafka, Spark, dbt).
Programação avançada em Python (essencial) / R (desejável).
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS PLENO,"São Paulo, SP",Softtek,"
Conhecimento em R, SQL e Python;
Conhecimento e experiência com pacotes de elaboração de relatórios, programação (XML, JavaScript, ou estruturas ETL);
Postado há 3 dias·","3,9"
ENGENHEIRO DE DADOS,Home office,FanHub,"
Banco de dados SQL (Postgres e MySQL);
Integração contínua e entrega contínua de projetos de dados (CI/CD);
Construção de Pipelines de ingestão e manipulação de…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,Home office,Leega Consultoria,"
Experiência sólida com migração de dados entre bancos de dados Oracle e PostgreSQL.
Metodologias de migração de dados.
Postado há 26 dias·",Sem informacao
ENGENHEIRO DE DADOS,"Goiânia, GO","CONDUZIR - PESSOAS, CONSULTORIA E TREINAMENTO...","
Atuar na ingestão, integração e processamento de dados em Bigdata, atuando de forma colaborativa junto aos demais integrantes do time de Dados; - Estruturação…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SR,Home office,Indra Company,"
Implementar processos de qualidade de dados;
Conhecimentos em linguagem de definição de dados (DDL) com a linguagem de manipulação de dados (DML);
Postado há 10 dias·","5,0"
ENGENHEIRO DE DADOS - SÊNIOR,"São Paulo, SP",Mottu,"
Conhecimento em banco de dados NoSQL e SQL;
Implementar um Data Warehouse para centralizar o acesso e facilitar a interpretabilidade dos dados.
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS GCP PLENO,Home office,Leega Consultoria,"
Experiência em projetos como arquiteto de dados, responsável pelo desenho da solução de dados end to end.
Sólido conhecimento em banco de dados relacional e…
Postado há 25 dias·",Sem informacao
ENGENHEIRO DE DADOS GCP PLENO E SÊNIOR,Home office,Leega Consultoria,"
Sólido conhecimento em banco de dados relacional;
Ficaremos muito felizes em ter você em nosso time.
Big Data: Google Cloud Platform, Hive, Sqoop, Pyhton, Spark…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Wayon,"
O profissional irá interagir com diversas áreas para alavancar o consumo de conteúdos.
Desenvolver estudos que direcionem o negócio na melhor tomada de decisão…
Postado há 23 dias·",Sem informacao
ENGENHEIRO DE DADOS GCP PLENO,Home office,Qexpert,"
Experiência com ferramentas de orquestração de fluxo de dados.
Criar e definir modelagens de repositórios de dados de clientes tais como (Data Lakes,…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS AWS JR,"Home office in São Paulo, SP",CODE GROUP,"
Conhecimento com banco de dados Oracle, PL/SQL.
Construir soluções escalonáveis e resilientes de análises de dados no ambiente AWS.
Postado há 12 dias·",Sem informacao
"ENGENHEIRO DE DADOS (SQL, NOSQL, ETL, POWERBI, AZURE E SSRS)",Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de dados.
Transferir dados existentes de armazenamentos de dados legados para novas plataformas de…
Postado há 3 dias·",Sem informacao
ENGENHEIRO DE DADOS - ALDEOTA,"Fortaleza, CE",Jobbol,"
Levantar requisitos em conjunto com o time de BI e Data Science.
Estruturar e otimizar infraestrutura de data analytics.
Postado há 18 dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",INEX,"
Experiência com implantação de arquitetura de dados e modelagem de camadas de dados;
Construção de Pipelines de ingestão e manipulação de dados (ETL/ELT);
Postado há 30+ dias·","3,2"
ENGENHEIRO DE DADOS (API),Home office,Armac,"
Estamos em busca de um(a) ENGENHEIRO DE DADOS com foco em API's para integrar o time de inovação e nos ajudar com nossos objetivos.
Postado há 30+ dias·","4,0"
ENGENHEIRO DE DADOS PLENO,Home office,Cyrela,"
Construção de ETLs, gestão do ambiente, construção de foundation de dados utilizando ferramentas Microsoft Azure, cultura datadriven, construção de dashboards,…
Postado há 23 dias·","4,3"
ENGENHEIRO DE DADOS,"Home office in Campo Grande, MS",AZ Tecnologia em Gestão,"Engenheiro de dados 2 vagas Campo Grande / MS COMPARTILHAR Buscamos profissional para a área de dados, para executar as seguintes atividades: Entender as…Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS AWS PLENO,Home office,Leega Consultoria,A Leega é uma empresa focada no atendimento eficiente e inovador em seus clientes. Isso não poderia ser diferente com o nosso principal combustível: as pessoas…Postado há 10 dias·,Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Itaú Unibanco,"Endereço:PC ALFREDO EGYDIO SOUZA ARANHA, 100 - JABAQUARA. Como é o ambiente de trabalho? Vem construir a área de tecnologia Itaú_ Somos o Maior banco da…Postado há 13 dias·","4,3"
"ENGENHEIRO DE DADOS (R, PYTHON, SQL, E SCALA)",Home office,Turing.com,*Candidate-se para essa vaga: *turing.com/s/AQxyvH *Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.* *Somente candidatos com mais…Postado há 30+ dias·,Sem informacao
ENGENHEIRO DE DADOS,"Campinas, SP",Gateware,• Atuar no design e desenvolvimento de Jobs ETL em ambientes de big data para processar petabytes de dados; • Criar estruturas ou trabalhos reutilizáveis que…Postado há 30+ dias·,"4,0"
ENGENHEIRO DE DADOS PLENO,Home office,Cyrela,"Apoiar a frente de Data Analytics dentro da corporação, atuando ativamente na definição de soluções de dados em Nuvem. Ser responsável por novas entregas em…Postado há 23 dias·","4,3"
ENGENHEIRO DE DADOS PL,"São Paulo, SP",PagBank PagSeguro,"
No Pags todas as pessoas são bem-vindas , sem distinção de gênero, orientação sexual, etnia, cultura, religião, deficiência etc.
Postado há 30+ dias·","3,9"
ENGENHEIRO DE DADOS PLENO/SÊNIOR,Home office,Logcomex,"
Nossos integrantes devem ser colaborativos para buscar as melhores soluções para nossos clientes junto às demais áreas da empresa.
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR (SCALA E SPARK),Home office,Turing.com,"
Experiência demonstrável trabalhando com bancos de dados SQL, preferencialmente Postgres.
Ao menos 5 anos de experiência relevante como engenheiro de software.
EmployerAtiva 21 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Salvador, BA",Cidacs,"
Sólidos conhecimento de banco de dados relacionais e SQL;
Apoiar o desenvolvimento de pipelines de dados em linguagem adequada;
Postado há 19 dias·",Sem informacao
ENGENHEIRO DE DADOS,"Rio de Janeiro, RJ+1 local",innolevels - Leveraging your Business,"
Estamos contratando Engenheiro de dados para projetos de transformação digital, desenvolvendo ferramentas inovadoras para entregar a melhor experiência para os…
Postado há 6 dias·",Sem informacao
ENGENHEIRO DE DADOS,"Home office in Santos, SP",Work4all,"
Profissional de engenharia com vivência na área de análise, controle e gestão de dados.
Conhecimento avançado de bases de dados SQL/Access;
Postado há 17 dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Brasília, DF",Digisystem,"
Atua em ambientes e ferramentas de Big Data (Hadoop e PySpark), linguagens e ferramentas de programação (Phyton, R, Scala e SQL) e domina plataformas e…
Postado há 30+ dias·","3,7"
ENGENHEIRO DE DADOS,"Brasília, DF",MIRANTE TECNOLOGIA,"
Desejável conhecimento em soluções de replicação de dados;
Conhecimento em banco de dados DB2, SQL Server e desejável MPP (CP4D, Netezza, Pure Data);
Postado há 17 dias·","3,9"
ENGENHEIRO DE DADOS SÊNIOR,Home office,Provi,"
A Provi é uma empresa que preza pela diversidade, acreditamos no valor e na riqueza das diferenças e no respeito às pessoas.
Postado há 17 dias·",Sem informacao
ENGENHEIRO DE DADOS/ TI,"São Paulo, SP",Emphasys IT Services,"
Integração de dados, data warehousing e business intelligence.
Plataforma de dados em nuvem, como Azure Data Factory ou Databricks.
Postado há 15 dias·",Sem informacao
ENGENHEIRO DE DADOS/ TI,"São Paulo, SP",Emphasys IT Services,*Atividades**: * * Comunicar e manter a arquitetura local. * Apoiar as Squads no desenho e implementação das soluções. * Fornecer orientação sobre as…Postado há 15 dias·,Sem informacao
ENGENHEIRO DE DADOS/ETL (SCALA E APACHE SPARKS),Home office,Turing.com,*Candidate-se para essa vaga: *https://turing.com/Nrdee7 *Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.* *Somente candidatos com…Postado há 30+ dias·,Sem informacao
ENGENHEIRO DE DADOS - PULSE,"São Luís, MA",Pulse,"# Necessitamos de um profissional que seja capaz de planejar, arquitetar e desenvolver sistemas de processamento intensivos de dados. Responsabilidades e…Postado há 6 dias·",Sem informacao
ENGENHEIRO DE DADOS AWS / ML (PLENO) | SUA MÚSICA,"São Paulo, SP",Red Pill RH,"Nós da Red Pill junto ao nosso cliente Sua Música estamos em busca de um Engenheiro de Dados com experiência média de 3 anos em AWS, airflow, e irá atuar com…Postado há 30+ dias·",Sem informacao
"ENGENHEIRO DE DADOS (NODE.JS, MONGODB ATLAS, S3 E DYNAMODB)",Home office,Turing.com,"
Criar scripts para lidar com dados estruturados e não estruturados.
Colaborar com stakeholders para identificar os requisitos de estrutura de dados,…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Curitiba, PR",BRF,"
Tecnologias Microsoft Azure para dados (Data Warehouse, DataBricks, Analysis Services, Data Factory, etc.).
Gerir o suporte aos produtos e solucões de Business…
Postado há 30+ dias·","4,3"
ENGENHEIRO DE DADOS SÊNIOR - HÍBRIDO,"Rio de Janeiro, RJ",The Bridge Vagas,"
Ser o responsável pela organização de dados dentro da companhia no aspecto físico e lógico;
Experiência com ETL (qualquer ferramenta);
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS PLENO - BARI TECNOLOGIA,Home office,Banco Bari e Grupo,"
Manutenção e monitoramento de Lakehouse em ambiente de nuvem (AWS);
Planejamento da construção de Data Warehouses para áreas de negócio da empresa;
Postado há 6 dias·",Sem informacao
"ENGENHEIRO DE DADOS (AWS, PHP, MYSQL E RESTFUL APIS)",Home office,Turing.com,"
Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.*.
Usar código limpo, testado e escalável para implementar histórias de usuários da…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,"Recife, PE",Datainfo,"
Ensino superior completo em Tecnologia da Informação ou cursos correlatos.
Postado há 8 dias·","4,0"
ENGENHEIRO DE DADOS - RIO DE JANEIRO,"Rio de Janeiro, RJ",OEmprego,"Empresa busca pessoa com bagagem na área de dados, para somar força à equipe que está passando por uma reestruturação. Requisitos: Experiência com Oracle…Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",TOTVS,"
Desenvolver data lakes corporativos em nuvem ou on premises.
Graduação nas áreas de Tecnologia da Informação ou afins.
Postado há 18 dias·","4,2"
ENGENHEIRO DE DADOS - SETOR NOVA SUIÇA,"Goiânia, GO",Jobbol,"
Migração de dados para AWS, gestão de dados e custos envolvidos no processo.
Postado há 25 dias·",Sem informacao
"ENGENHEIRO DE DADOS (MONGODB, SQL, BIGQUERY, STITCH, ETL E T...",Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de dados.
Apresentar dados por meio de visualizações excepcionalmente interessantes e impactar o…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Itaú,"
Fortes habilidades com SQL, bancos de dados relacionais, não relacionais, conceitos de big data e analíticos;
Prover soluções integradas com o Data Lake.
Postado há 12 dias·","4,3"
ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",BuscarVagas,"
Conhecimentos avançados em SQL para exploração, tratamento e preparação de dados;
Conhecimento de plataformas Big Data em ambiente de nuvem e banco de dados…
Postado há 1 dia·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Home office in São Paulo, SP",Anbima,"
Criar pipelines de ingestão de dados;
Definir e otimizar arquitetura de ingestão e processamento de dados.
Fornecer bases e saídas para que as áreas de negócio…
Postado há 30 dias·","4,2"
ENGENHEIRO DE DADOS DATABRICKS/SNOWFLAKE - SÊNIOR,"São Paulo, SP",Keyrus Brazil,"
Desenvolver, construir, testar e participar dos processos de renovação da arquitetura de dados, participar das atividades de construção de integrações de…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR,"Home office in São Paulo, SP",STORMGROUP,"ATRIBUIÇÕES Responsável pela coleta e preparação de dados, bem como construção de Data Marts, book de variáveis e ABT's com automação dos processos…Postado há 30+ dias·",Sem informacao
