Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados Pleno e Senior,Remoto,Arquivei,Definição e implementação de arquiteturas escaláveis de processamento de dados.Já passou por migrações de banco de dados.Lidar com um grande volume de dados;,https://tinyurl.com/yeoqzvu5
Engenheiro(a) de Dados Sênior,"Rio de Janeiro, RJ",B2W Digital,"Pipeline de dados, integração de bancos.Atuar no suporte a equipe de Ciência de Dados fazendo a configuração e manutenção de pipelines para criar conjuntos de…",https://tinyurl.com/yj5wn2jg
Engenheiro de dados,"São Paulo, SP",DOMVS TI,Cargas de dados na nuvem;Especificação técnica dos projetos de dados;Extração de dados dos sistemas origem;Melhoria contínua da plataforma de dados.,https://tinyurl.com/ybw4krg6
Engenheiro de Dados Azure Sr,"São Paulo, SP",Mova RH,"Procuramos uma pessoa com certificação DP-200 e DP-201 OU DP-203, para ser o engenheiro de dados Azure da empresa.Jornada de trabalho: Horário Comercial.",https://tinyurl.com/ygcwd7me
Engenheiro de Dados AWS,"Curitiba, PR",Leega Consultoria,Engenheiro de dados com sólidos conhecimentos e experiência em projetos na plataforma AWS.Se você busca uma empresa dinâmica e parceira e que investe em seus…,https://tinyurl.com/yefqg3aw
Engenheiro(a) de Dados Python,Brasil,GeekHunter,Implementar soluções de extração de dados;Monitorar e assegurar a execução dos pipelines de extração de dados;Processamento de dados em Batch e Streaming;,https://tinyurl.com/y92ur2vf
Engenheiro(a) de Dados AWS,"São Paulo, SP",GeekHunter,"Atividades: Estruturar fluxo de dados, Redução de custos AWS, Reorganizar Data Lake.Atuar em uma fintech de cartão de crédito.Ser maior de 18 anos.",https://tinyurl.com/ya5v5z96
Engenheiro de Dados,"São Paulo, SP",Moot It Consulting,"Modelagem dimensional de dados reporting e dashboards.Desenvolvimento de soluções com grandes volumes de dados, seja offline Ou real time;",https://tinyurl.com/yfv837rp
Engenharia de Dados - Pleno | Presencial ou Home Office,"Blumenau, SC",Ambev Tech,Jornada de trabalho de 40 horas semanais;Experiência sólida em linguagens para análise e tratamento de dados: SQL e Python;,https://tinyurl.com/yffclpyr
Engenheiro(a) de Dados Python Sênior (Remoto),"Curitiba, PR",GeekHunter,Conhecimento em banco de dados;O seu principal objetivo será garantir a qualidade na coleta de dados e viabilizar o acesso à informações para elabaração de…,https://tinyurl.com/y9ws69am
Engenheiro(a) de Dados Python pleno (remoto),Brasil,GeekHunter,"O que você irá fazer?What You'll Do Here.Some projects you will work on:Optimize and execute on requests to pull, analyze, interpret and visualize data.",https://tinyurl.com/yfucqhmq
Engenheiro(a) de Dados AWS sênior (remoto),Brasil,GeekHunter,"Personalização da carteira de benefícios.O que você irá fazer?Administration/maintenance of ElasticSearch servers;Work in Cloud environments (AWS, GCP);",https://tinyurl.com/yguze3pa
Gestor de Produtos - Engenharia de dados,"Uberlândia, MG",Tecnologia Martins,Ser PO de squads de soluções através do apontamento de coleta de dados para equipe de inteligência analítica;Atuação em integração de sistemas e dados;,https://tinyurl.com/yje4g8xn
Engenheiro de dados - Remoto,Brasil,Deal Technologies,"Conhecimento de bancos de dados e modelagem de dados, processo de extração, transformação e.Conhecimento com manipulação de grande quantidade de dados.",https://tinyurl.com/y6vxog6y
Engenheiro de dados Pleno,"São Paulo, SP",5A Consultoria,Elaborar/manter procedimentos que envolvam os bancos de dados para tratamento dos dados;Prospectar novas tecnologias para proteção de dados;,https://tinyurl.com/ygcz8cjv
Engenheiro(a) de Dados,"São Paulo, SP",Nestlé,Ser engenheiro(a) de dados na Nestle significa sair da zona de conforto para transformar diversas informações em dados que vão mexer no ponteiro do nosso…,https://tinyurl.com/yczdykxk
Engenheiro de Sistemas (Dados e Arquitetura),"Campinas, SP",#vempraGateware,Boa experiência em jobs de scripts de automação de build e automação de implantação.Implementar práticas recomendadas de nível de plataforma Azure.,https://tinyurl.com/y85ygqcg
Engenheiro(a) de Dados Hadoop (remoto),Brasil,GeekHunter,Projeto inicial de 2 meses com grande possibilidade de prorrogação.Convênio com desconto em instituições de ensino e cursos de Idiomas;O que você irá fazer?,https://tinyurl.com/ydbzxgk6
Engenheiro de Dados AWS,"Campinas, SP",Kumulus Cloud e Data,"Participação em projeto de dados;Noção de Arquitetura de Dados.Metodologias de Gestão de projeto Ágil.Conceitos de Datalake (Raw, Storage, History, Processed…",https://tinyurl.com/ycswfxfe
Engenheiro de Dados - remoto -SP,"Barueri, SP",Holden Consultoria & Rh Ltda,Experiência em banco de dados SQL SERVER.Experiência em Desenvolvimento e modelagem de Data Warehouse.Experiência em arquitetura e processos de cargas para…,https://tinyurl.com/y746jwhv
Engenheiro/a de Dados Senior,"São Paulo, SP",Ernst & Young,Auxilia no Desenvolvimento de novos estudos baseado em diferentes tipos de dados.Com os fornecedores de dados identificados para cada necessidade.,https://tinyurl.com/y9wcnuy9
ENGENHEIRO DE DADOS,"Maringá, PR",REDE GERANDO FALCÕES,Combinar fontes de dados para posterior consumo de informações cruzadas;Criar a arquitetura de dados;Conhecimento em ferramentas de report e visualização de…,https://tinyurl.com/y83zykv3
Engenheiro de Dados Pleno,"São Paulo, SP",Conquest One,Saber traduzir necessidades de usuários de negócio em requisitos técnicos para criação de novas features para a plataforma de dados.Testes e DevOps (CI/CD);,https://tinyurl.com/ybccmr6q
Estagiário de Engenharia de Dados,"Rio de Janeiro, RJ",MindTek,Auxiliar em projetos de análise de dados para diversos clientes.Estamos em busca de um Estagiário de Engenharia de Dados.Banco de dados: Relacional e NoSQL;,https://tinyurl.com/y99496no
Engenheiro de Dados Pleno (Frete),"São Paulo, SP",B2W Digital,"Conhecimento sobre pipeline de dados, integração de bancos, crawlers, monitoria de de jobs.Capacidade de contribuir com otimizações de arquitetura de ETL e BI.",https://tinyurl.com/y7qmm26v
[RJ] Engenheiro de Dados / Analista de Power BI,"Rio de Janeiro, RJ",RADIX Engenharia e Software,Implementação de transformações de dados para elaboração de indicadores.Conhecimento das soluções de manipulação de dados da Azure.Que tal fazer parte disso?,https://tinyurl.com/y8lh7uq7
Coordenador(a) de Engenharia de Dados,"São Caetano do Sul, SP",Via Varejo S.A.,"Liderar a equipe de engenharia de dados responsável por ingerir, preparar e disponibilizar dados para as áreas de negócio.Além disso, vamos te desafiar em:",https://tinyurl.com/ycq3mucb
