Cargo,Local,Empresa,Descrição,Link
Analista Programador Sr (Analista de Dados e BI),"São Paulo, SP",Stefanini,"Tempo de Experiência: 5 anos e 0 meses.(Superior Completo) Engenharia da Computação, Ciências da Computação, Análise de Sistemas, Matemática ou Sistemas da…",https://tinyurl.com/yb8mpuum
ANALISTA DE BANCO DE DADOS,"São Luís, MA",None,"Construção de fórmulas de benefícios.Atividades: Suporte ao módulo de folha de pagamento.Levantamento de Requisitos funcionais, Não funcionais.",https://tinyurl.com/ybmdg5b6
Estágio Analista de Dados,Remoto,A3Data,Apoiar em processos de construção de ambientes de dados;Apoiar na estruturação de extração e carga de dados;Apoiar na formulação de problemas de dados;,https://tinyurl.com/y84qgosa
Analista de Dados,"Florianópolis, SC",Delivery Much,"Conhecimento de ferramentas básicas de análise de dados e/ou de entrega de relatórios, como Power BI, Google Analytics, AppsFlyer;Como será seu dia a dia:",https://tinyurl.com/yceyv2m2
Analista de Dados,"São Paulo, SP",HCOR,"Conhecimento de processos de dados e analytics;Criar e manter visualizações interativas avançadas por meio da interpretação e análise de dados, integrando…",https://tinyurl.com/y7ocqg2t
ANALISTA DE DADOS - SÃO LUÍS,"São Luís, MA",OEmprego,Horário: De segunda a sexta e escala de revezamento aos finais de semana.Experiência na gestão de hospitalar;Imputar os dados no forms/App.,https://tinyurl.com/yd9xos82
Analista de Dados Sênior,"Curitiba, PR",Conquest One,"Conhecimento em banco de dados e linguagem SQL;Experiência de pelo menos 3 anos na construção de dashboards em Tableau, com extração de dados de diferentes…",https://tinyurl.com/y75szc86
ANALISTA DE BANCO DE DADOS SQL,"Juiz de Fora, MG",CBRH Consultoria,"Banco de Dados; SQL; Identificação e análise de bugs; Ferramentas de Service Desk ; Sistemas operacionais Windows; Conhecimento em Spon (Pentaho), Conceitos de…",https://tinyurl.com/y98f2g9p
ANALISTA DE DADOS BI - SUPERIOR COMPLETO,"Fortaleza, CE",None,"Prover análises de indicadores utilizando conceitos de estatística através do Planner, dentre outros.Sistemas de Informação ou correlatas.",https://tinyurl.com/y8urln34
ANALISTA DE DADOS,"Barueri, SP",DHL,"Obter dados de fontes primárias ou secundárias e manter bancos de dados/sistemas de dados.Desenvolver e implementar bancos de dados, sistemas de coleta de…",https://tinyurl.com/y83o4km3
ANALISTA DE DADOS E NEGÓCIO (FARMACÊUTICO) - BV,"Brasília, DF",Buscar Vagas,"Realizar análise, atualização e manutenção periódica de insumos faturáveis dos materiais e medicamentos, através dos sistemas de estoque e faturamento.",https://tinyurl.com/y99dkm47
Analista de Dados - Função: Analista de Suporte da Área,"São Paulo, SP",The Church of Jesus Christ of Latter-day Saints,"Técnicas de Análise de Processos.Noções em lógica de programação, arquitetura de sistemas, tecnologia da informação e gestão de processos de negócio.",https://tinyurl.com/y8bxmpg2
