Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS JUNIOR,"São Paulo, SP",A Gente Faz Terceirização,REQUISITOS: EXPERIÊNCIA COM DASHBOARD TRATAMENTO DE INFORMAÇÕES EXCEL E POWER BI AVANÇADO Atividades desenvolvidas: * RELATÓRIOS * ANÁLISE DE DADOS *…EmployerAtiva 14 dias atrás,Sem informacao
ANALISTA DE DADOS,"São José dos Campos, SP",TerraMagna,"
Experiência com ferramentas de visualização de dados;
Experiência em análise de dados e gestão de KPIs;
O time de Produto é a engine de crédito da TerraMagna,…
PostedRecém publicada·",Sem informacao
ANALISTA DE DADOS - PLENO (HÍBRIDO OU REMOTO),"Home office in Blumenau, SC",Recrutamento Externo,"
Tiver conhecimento sobre o contexto logístico.
Traduzir necessidades comerciais em especificações técnicas;
A Lincros é um time de pessoas ímpares.
Postado há 22 dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,Grupo SEB,"
Linguagem de programação para análise de dados (SQL, Python, R);
Estamos contratando Analista de Dados Sênior, com background em digital, tecnologia e inovação…
PostedHoje·","4,3"
ANALISTA DE DADOS (BI),"Ribeirão Preto, SP",J&T Express,"
Desenvolver e implementar análises de dados, entendendo fatores que impactem nos resultados, e apresentar os resultados à equipe de trabalho;
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS,Home office,Moka Info,"
Especificar consultas para o time de TI, de acordo com padronização.
Especificar bases que alimentará o dashboard.
Especificar dashboard para o time de TI.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Seven Clínica,"
Conhecimento em banco de dados SQL Server;
Atender as solicitações (atendimento aos chamados);
Desejável experiência prévia em funções similares;
Postado há 7 dias·",Sem informacao
ANALISTA DE DADOS,Home office,Seazone,Como será um dia de trabalho típico na Seazone? Fazer parte dessa equipe significa que você ajudará a compor um time de excelência para trabalhar…Postado há 30+ dias·,Sem informacao
ANALISTA DE DADOS JR,"Goiânia, GO",PPT CONSULTORIA,"
Atividades *Criação e desenvolvimento de relatórios em Excel, extração de dados por instruções SQL e Administração de banco de Dados e Visualização.
EmployerAtiva 29 dias atrás·",Sem informacao
ANALISTA DE DADOS COMERCIAIS,Home office,LIV - Laboratório Inteligência de Vida,"
Acreditamos que um time diverso é o caminho para cumprir a nossa missão de transformar vidas e o Brasil.
Postado há 21 dias·",Sem informacao
