Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS PL. SÃO JOSÉ DOS CAMPOS / SP,"São José dos Campos, SP",Sistema Poliedro,"
O seu conhecimento pode nos ajudar muito.
Conversar com os solicitantes sobre a demanda,.
Acompanhar a participação, compartilhando com os solicitantes a…
Postado há 30+ dias·","2,7"
ANALISTA DE DADOS,"São Paulo, SP",Shopee,"
Sólida experiência em escrever consultas SQL; Python como diferencial.
Postado há 30 dias·",Sem informacao
ANALISTA DE DADOS,Home office,JustForYou,"
Nível mais próximo ao negócio;
Boa base matemática, estatística e conceitos gerais de algoritmos;
Cursos específicos da área de Data Science;
Postado há 19 dias·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",apis3,"
Requisitos Ensino superior na área de exatas, Administração, Marketing ou Publicidade e Propaganda; Conhecimento em Excel ou Google Sheets.
Postado há 30 dias·",Sem informacao
ANALISTA DE DADOS,"Jaú, SP",Racine Tratores,"Receber alertas, descartar alertas desnecessários, analisar pacote de serviços contratados pelo cliente, fazer contatos com os clientes para negociação de…Postado há 17 dias·",Sem informacao
ANALISTA DE DADOS (PCD),"São Paulo, SP",Itaú,"
Realizar os pagamentos e acompanhar os extratos em sistemas próprios.
Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS ATUÁRIO PLENO,Home office,Sami,"
Experiência com ferramentas de visualização de dados como Tableau, Power BI, Looker;
Programação em SQL, Python ou R (não usamos SAS);
Postado há 2 dias·","3,5"
ANALISTA DE DADOS,+1 localHome office,Sicredi,"Análise de dados, planejamento e acompanhamento de resultado da equipe nas operações de cartão relacionadas ao Open Finance. Você se identifica e gostaria de…Postado há 30+ dias·","4,2"
ANALISTA DE DADOS JUNIOR,"Indaiatuba, SP",RSCA CONSULTORIA EM TI Consultoria em Tecnologia...,"
Superior completo ou cursando em Ciência da Computação, Estatística ou áreas correlatas.
Ter conhecimento intermediário/avançado em Pacote Office –…
Postado há 13 dias·",Sem informacao
ANALISTA DE DADOS,"São Carlos, SP",Lab Vagas.,"
Estruturar ferramentas que converterão os dados da empresa em informações relevantes para a tomada de decisão e estruturação de uma inteligência para o negócio;
Postado há 8 dias·",Sem informacao
ANALISTA DE DADOS,Home office,CashMe,"
Sólidos conhecimentos na plataforma de visualização de dados Microsoft PowerBI.
Ser corresponsável pela implementação e manutenção de melhores práticas de…
Postado há 29 dias·",Sem informacao
ANALISTA DE DADOS,Home office,CWI Software,"
Vasta experiência em soluções de dados; Dominio em Python ou outra linguagem voltada a manipulação de dados; Dominio dos conceitos e de uma ferramenta de ETL …
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS | SÊNIOR,"São José dos Campos, SP",Quero Educação,"
Experiência como desenvolvedor (não necessariamente relacionada à análise de dados);
Experiência com ferramentas de processamento e análises de dados (SQL,…
Postado há 30+ dias·","3,9"
ANALISTA DE DADOS JR - BBC,"São Paulo, SP",Recrutamento Interno SIMPAR,"
Será observado o histórico de boa conduta dos últimos 06 meses e análise dos critérios eliminatórios (advertências, faltas, demais medidas disciplinares);
Postado há 5 dias·",Sem informacao
ANALISTA DE DADOS JR (SPECIALIST I),"São Paulo, SP",TransUnion,"
Experiência em SQL, ou outras linguagens de banco de dados similares.
Acompanhar as cargas dos arquivos recebidos das fontes.
Postado há 2 dias·","3,8"
ANALISTA DE DADOS PLENO,Home office,Bemobi,"
Criada em 2009 no Brasil como empresa independente, a Bemobi é uma empresa de tecnologia multinacional de capital aberto com escritórios espalhados pelo mundo.
Postado há 26 dias·","4,5"
ANALISTA DE DADOS JR,"São Paulo, SP",PagBank PagSeguro,"
Superior em Engenharia, Administração, Economia ou áreas correlatas.
Conhecimento técnico em linguagem SQL.
Pacote Office avançado, com foco em Excel.
Postado há 17 dias·",Sem informacao
