Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS PLENO,Home office,Mobills,"
Auxiliar na expansão da cultura do uso da ciência de dados em outras frentes de negócio.
Conhecimento intermediário em linguagens Python ou R, além de…
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Keyrus Brazil,"
Contribuir para tomada de decisão, baseada em dados gerando aumento de eficiência e produtividade via definição e monitoramento de KPIs, comparações com…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Oi,"
Conhecimento em visualização de dados, machine learning, deep learning, reconhecimento de padrões e preparação de dados;
Qual será seu desafio aqui?
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS (DATA SCIENCE),Home office,Tem talento? Me mostre o que tem.,"
Estamos em busca de um novo integrante para compor o nosso time de dados.
Realizar extrações de dados diversas plataformas, como Google Ads, Facebook, Google…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS NLP,Home office,Indra,"
A Indra Company é uma companhia global de tecnologia com mais de 23 anos de atuação no Brasil, focada em inovação e líder em soluções e serviços de alto valor…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS - PLENO (TEMPORÁRIO),+1 localHome office temporário,Ewave do Brasil,"
Domínio de SQL para manipulação de dados em nuvem;
Conhecimento em ferramentas de visualização de dados (preferencialmente Data Studio);
Postado há 3 dias·","4,0"
CIENTISTA DE DADOS JUNIOR (REMOTE),"Home office in São Paulo, SP",AMARO,"
Como cientista de dados júnior na AMARO, você terá toda a exposição e ferramentas necessárias para se destacar em uma carreira em ciência de dados Você…
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS II,Home office,Martins,"
Descobrir e avaliar a relevância de novas fonte de dados;
Trabalhar com grandes bases de dados para identificar padrões e segmentar clientes;
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS EM PRICING,Home office,Cielo,"
Mapear a necessidade do time de negócios, avaliando a necessidades dos dados;
Construir e gerenciar análises de múltiplas bases de dados de grande volume,…
Postado há 30+ dias·","4,2"
CIENTISTA DE DADOS - DATA SCIENCE,Hybrid remote,FindUP,"
Como cientista de dados você será um dos responsáveis técnicos pelo nosso time.
Atuar a frente do time de cientista de dados, realizando ações de treinamento,…
Postado há 23 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Kenlo,"
É apaixonado pelo universo de dados?
Forte conhecimento em análise descritiva e visualização de dados;
Coletar, limpar, armazenar, organizar, integrar dados e…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS INTERNACIONAL - PLENO (REMOTO),"Home office in Florianópolis, SC",Bix,"
Familiaridade em criar notebooks e limpar dados;
Familiaridade com banco de dados e SQL;
Experiência em ferramentas de BI e engenharia de dados.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Accenture,"
Experiência com manipulação de grandes bancos de dados ;
A Accenture é uma empresa global feita de pessoas apaixonadas pelo novo.
Um dia é diferente do outro.
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS SR,"Home office in Barueri, SP",C&A,"
Extração de Base de dados via SQL;
Construção de relatórios em Power BI e Excel;
Dialogar com outras áreas para colher resultados e colher feedbacks;
Postado há 30+ dias·","4,1"
"CIENTISTA DE DADOS SÊNIOR (ML, R E PYTHON)",Home office,Turing.com,"
Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.*.
Criar sistemas algorítmicos que permitam que alunos e professores sejam mais…
EmployerAtiva 4 dias atrás·",Sem informacao
